Ingredient;pct;kg.kg feed-1;Lipid;Protein;Carb;Ash;Water;sum profile;Sources;Feed protein kg.kg-1; Feed energy MJ.kg-1;;;MJ.kg-1;;;;N;P;;;;;;;
LT Fishmeal PBR;30;0.3;0.078708;0.670892;0.025299;0.162101;0.063;1;[1],[4];0.670892;19.33;;Lip;36.3;[5];;;0.10734272;0.023425;[9];2.5% P dry basis;;0.025;;;prot = protein /6.25
Rapeseed oil PBR;15;0.15;1;0;0;0;0;1;;0;36.3;;Carb;17.3;[5];;;0;0;[11];;;;;;
Wheat PBR;14;0.14;0.018200202;0.107178969;0.729019211;0.01718908;0.128412538;1;[3];0.107178969;15.83;;Prot;23.9;[5];;;0.0192;0.0036;[11];;;;;;
Fish oil PBR;8;0.08;1;0;0;0;0;1;;0;36.3;;;;;;;0;0;[11];;;;;;
Soybean meal PBR;13;0.13;0.050976;0.43365;0.3186;0.081774;0.115;1;[2];0.43365;17.73;;;;;;;0.069384;0.01;[11];;;;;;
Poultry meal PBR;8;0.08;0.108692;0.698065;0;0.130243;0.063;1;[1];0.698065;20.63;;;;;;;0.1116904;0.01;[11];;;;;;
Hemoglobin meal PBR;4;0.04;0;0.915474;0;0.005526;0.079;1;[1];0.915474;21.88;;;;;;;0.14647584;0;;low phosphorus cotnent;;;;;
Wheat gluten PBR;8;0.08;0;1;0;0;0;1;;1;23.9;;;;;;;0.16;0.002;[11];1 % DM;;;;;
;[6];;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Total N and P per kg feed;;0.032202816;0.0070275;;;;;;;
;;;;;;;;;;;;;;;;;;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;0.002688;0.000504;;;;;;;
;;;;;;;;;;;;;;;;;;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;0.00901992;0.0013;;;;;;;
;;;;;;;;;;;;;;;;;;0.008935232;0.0008;;;;N feed content;0.071217811;;
;;;;;;;;;;;;;;;;;;0.005859034;0;;;;P feed content;0.012;;
;;;;;;;;;;;;;;;;;;0.0128;0.00016;;;;;;;
;;;;;;;;;;;;;;;;;total;0.071505002;0.0097915;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;7;Hlavá?, D. et al. (2014) ‘Effects of supplementary feeding in carp ponds on discharge water quality: A review’, Aquaculture International, 22(1), pp. 299–320. doi: 10.1007/s10499-013-9718-6.;;;;;;;;;
;;;;;;;;;;;;;;;;;Munoz, J. A., Utterback, P. L. and Parsons, C. M. (2020) ‘Phosphorus digestibility and bioavailability in soybean meal, spray-dried plasma protein, and meat and bone meal determined using different methods’, Poultry Science, 99(10), pp. 4998–5006. doi: 10.1016/j.psj.2020.06.044.;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
[1];Martínez-Llorens, S., Vidal, A. T., Moñino, A. V., Gómez Ader, J., Torres, M. P., & Cerdá, M. J. (2008). Blood and haemoglobin meal as protein sources in diets for gilthead sea bream (Sparus aurata): Effects on growth, nutritive efficiency and fillet sensory differences. Aquaculture Research, 39(10), 1028–1037. https://doi.org/10.1111/j.1365-2109.2008.01961.x;;;;;;;;;;;;;;;;;;;;;;;;;
[2];Hasan, Mahmud et al. 2019. “Effects of Wetting Media Cattle Blood, Rice Gruel and Water on the Yield and Amino Acid Composition of Tubificid Worms.” Journal of the Asiatic Society of Bangladesh, Science 45(2): 229–39.-composition-of-the-media-ingredients-soybean-meal-and-mustard-oil-cake-and_tbl2_339251755;;;;;;;;;;;;;;;;;;;;;;;;;
[3];Wieser, Herbert, Peter Koehler, and Katharina A. Scherf. 2020. Wheat - An Exceptional Crop Chemical Composition of Wheat Grains.;;;;;;;;;;;;;;;;;;;;;;;;;
[4];https://www.nohansen-agentur.dk/fishmeal/lt-fishmeal.aspx , visited 20/10/21;;;;;;;;;;;;;;;;;;;;;;;;;
[5];Williams, Peter J.Le B., and Lieve M.L. Laurens. 2010. “Microalgae as Biodiesel & Biomass Feedstocks: Review & Analysis of the Biochemistry, Energetics & Economics.” Energy and Environmental Science 3(5): 554–90.;;;;;;;;;;;;;;;;;;;;;;;;;
[7];Hlavá?, D. et al. (2014) ‘Effects of supplementary feeding in carp ponds on discharge water quality: A review’, Aquaculture International, 22(1), pp. 299–320. doi: 10.1007/s10499-013-9718-6.;;;;;;;;;;;;;;;;;;;;;;;;;
[8];Munoz, J. A., Utterback, P. L. and Parsons, C. M. (2020) ‘Phosphorus digestibility and bioavailability in soybean meal, spray-dried plasma protein, and meat and bone meal determined using different methods’, Poultry Science, 99(10), pp. 4998–5006. doi: 10.1016/j.psj.2020.06.044.;;;;;;;;;;;;;;;;;;;;;;;;;
[9];Hua, K. and Bureau, D. P. (2006) ‘Modelling digestible phosphorus content of salmonid fish feeds’, Aquaculture, 254(1–4), pp. 455–465. doi: 10.1016/j.aquaculture.2005.10.019.;;;;;;;;;;;;;;;;;;;;;;;;;
[10];https://www.sites.ext.vt.edu/newsletter-archive/dairy/2006-07/phosphorus.html;;;;;;;;;;;;;;;;;;;;;;;;;
[11];https://www.feedtables.com/content/phosphorus;;;;;;;;;;;;;;;;;;;;;;;;;
